"","dyadID","partnum","gender","religion","age","sexualor","race","RecordedDate","relation_length","indinc","wfh","housework_1","housework_2","housework_3","housework_4","housework_5","housework_6","housework_7","housework_8","housework_9","housework_10","housework_11","housework_12","housework_13","housework_14","housework_fair","housework_satisfied","grbs_1","grbs_2","grbs_3","grbs_4","grbs_5","grbs_6","grbs_7","grbs_8","grbs_9","grbs_10","grbs_11","grbs_12","grbs_13","grbs_14","grbs_15","grbs_16","grbs_17","grbs_18","grbs_19","grbs_20","gatekeeping_1","gatekeeping_2","gatekeeping_3","gatekeeping_4","gatekeeping_5","gatekeeping_6","gatekeeping_7","gatekeeping_8","gatekeeping_9","gatekeeping_10","gatekeeping_11","gatekeeping_12","gatekeeping_13","gatekeeping_14","gatekeeping_15","gatekeeping_16","survey_date","relation_start","relation_days","relation_yrs","avg_gatekeeping","avg_housework_female","avg_housework_male","grbs_2.r","grbs_3.r","grbs_7.r","grbs_10.r","grbs_12.r","grbs_17.r","avg_grbs"
"1",377033,"1",1,"Christianity",49,"Heterosexual","White or European American","8/15/20 22:14","11/18/88",50000,0,60,100,100,100,100,40,80,80,20,20,60,20,NA,80,3,3,4,1,NA,3,1,4,3,5,5,5,4,2,4,4,5,1,5,4,2,4,NA,4,NA,NA,4,NA,4,NA,5,NA,5,NA,4,NA,NA,NA,2020-08-01,1988-11-18,11579,31.7232876712329,4.33333333333333,71.1111111111111,55,5,NA,3,1,4,1,3.36842105263158
"2",377033,"2",0,"Christianity",50,"Heterosexual","White or European American","8/15/20 23:38","12/23/89",50000,1,60,20,40,20,20,80,40,40,100,80,60,100,NA,40,4,3,4,2,NA,3,2,3,3,4,4,4,3,3,3,4,5,1,5,4,2,4,NA,NA,NA,NA,2,NA,4,NA,4,NA,4,NA,NA,NA,NA,4,2020-08-01,1989-12-23,11179,30.627397260274,3.5,51.1111111111111,60,4,NA,3,2,3,1,3.10526315789474
"3",737834,"1",1,"Christianity",50,"Heterosexual","White or European American","8/15/20 6:52","2/20/02",15500,0,100,100,100,100,100,40,100,100,100,40,40,40,100,100,4,2,4,2,3,2,4,2,4,2,1,5,2,2,4,3,4,2,5,2,3,3,4,NA,4,2,NA,4,NA,5,NA,5,2,2,4,5,4,NA,2020-08-01,2002-02-20,6737,18.4575342465753,3.7,94,55,4,3,2,1,4,1,2.65
"4",737834,"1",0,"Christianity",50,"Heterosexual","White or European American","8/15/20 15:39","2/20/02",90000,1,20,20,20,20,20,100,20,20,20,80,100,100,20,20,3,4,4,3,2,4,4,1,4,3,2,3,4,3,2,4,3,2,4,2,4,4,1,1,1,1,1,1,NA,1,2,2,2,1,2,2,1,2,2020-08-01,2002-02-20,6737,18.4575342465753,1.38461538461538,28,75,3,4,2,3,3,2,3
"5",919757,"1",1,"Christianity",46,"Heterosexual","White or European American","8/7/20 19:38","8/9/18",22000,0,60,60,60,60,60,NA,NA,60,60,40,NA,60,60,60,3,3,2,3,4,2,3,2,5,4,2,5,1,4,4,1,3,1,4,2,2,3,1,NA,1,1,1,1,1,1,4,NA,NA,NA,1,1,2,NA,2020-08-01,2018-08-09,723,1.98082191780822,1.3,60,50,3,2,1,1,2,2,2.15
"6",919757,"2",0,"Christianity",46,"Heterosexual","White or European American","8/7/20 20:00","8/9/18",55000,1,60,60,60,60,60,NA,NA,60,40,80,NA,80,60,60,3,3,4,4,2,3,2,2,3,3,2,2,1,4,3,2,3,4,4,2,2,3,1,2,1,1,NA,NA,1,NA,5,NA,NA,1,1,NA,1,1,2020-08-01,2018-08-09,723,1.98082191780822,1.625,60,70,2,4,3,4,2,2,2.65
"7",938324,"1",1,"Christianity",56,"Heterosexual","White or European American","8/8/20 14:41","10/28/90",25000,NA,100,100,80,80,60,40,NA,80,80,60,20,100,100,100,3,5,4,4,4,1,1,4,5,5,2,5,1,5,1,1,5,1,5,1,2,4,NA,5,2,NA,2,NA,1,NA,5,4,5,4,NA,1,1,4,2020-08-01,1990-10-28,10870,29.7808219178082,3.22222222222222,91.1111111111111,45,2,2,1,1,1,1,2.05
"8",938324,"2",0,"Christianity",55,"Heterosexual","White or European American","8/8/20 16:01","10/20/90",98000,1,20,20,40,40,80,100,NA,20,20,60,100,20,40,20,1,5,5,1,1,4,2,5,3,5,4,2,1,5,5,1,5,1,5,1,5,5,NA,1,1,NA,1,NA,1,NA,4,NA,2,NA,1,2,NA,NA,2020-08-01,1990-10-20,10878,29.8027397260274,1.625,26.6666666666667,85,5,5,3,4,1,1,3.4
"9",1063439,"1",1,"Christianity",57,"Heterosexual","White or European American","8/9/20 15:40","10/17/80",9360,0,100,80,100,100,40,20,80,100,100,20,20,80,100,100,3,4,4,4,4,3,2,4,4,3,2,5,2,3,2,2,4,1,4,2,2,3,NA,4,NA,NA,2,NA,2,2,4,NA,NA,NA,2,2,2,4,2020-08-01,1980-10-17,14533,39.8164383561644,2.57142857142857,94,25,2,2,2,1,3,2,2.4
"10",1063439,"2",0,"Christianity",59,"Heterosexual","White or European American","8/9/20 17:31","9/30/80",125000,0,20,40,20,40,80,100,40,20,20,100,100,20,20,20,2,4,4,2,3,4,3,4,3,3,3,5,3,4,4,2,4,2,3,2,3,4,2,2,2,2,2,1,4,4,4,4,NA,NA,NA,NA,NA,2,2020-08-01,1980-09-30,14550,39.8630136986301,2.7,26,95,4,3,3,1,2,3,3.05
"11",1151456,"1",1,"Athiest",50,"Heterosexual","White or European American","8/6/20 23:51","1/1/99",1500,NA,100,100,100,60,100,40,100,100,60,40,40,60,60,60,1,5,4,1,2,3,3,3,3,3,3,4,3,4,3,3,5,1,3,3,3,4,NA,NA,NA,NA,2,2,2,NA,4,NA,NA,NA,NA,NA,NA,4,2020-08-01,1999-01-01,7883,21.5972602739726,2.5,80,55,5,4,3,2,2,3,3.15
"12",1151456,"2",0,"Agnostic",62,"Heterosexual","White or European American","8/12/20 17:55","6/1/97",92000,0,20,40,40,20,40,60,40,20,60,80,80,40,40,20,1,5,4,3,2,4,3,4,3,4,3,5,3,3,4,2,5,3,3,3,4,4,NA,NA,2,NA,1,1,NA,2,4,NA,NA,NA,1,NA,2,NA,2020-08-01,1997-06-01,8462,23.1835616438356,1.83333333333333,34,65,3,4,3,1,3,3,3.35
"14",1215551,"1",1,"Christianity",51,"Heterosexual","Latinx or Hispanic","8/15/20 20:07","2/16/88",83000,0,100,80,80,60,60,20,100,60,20,20,20,80,80,100,5,2,5,1,4,2,3,4,1,4,3,4,4,4,4,2,5,3,4,1,5,4,NA,NA,4,NA,1,5,4,NA,5,5,4,2,2,4,4,2,2020-08-01,1988-02-16,11855,32.4794520547945,3.6,76,30,5,2,5,2,2,2,3.35
"15",1215551,"2",0,"Christianity",52,"Heterosexual","Latinx or Hispanic","8/17/20 15:52","2/16/88",38000,1,20,NA,20,60,NA,NA,20,60,100,60,100,40,40,20,3,4,5,1,1,4,5,4,1,4,1,2,4,1,4,1,4,4,2,4,5,4,1,2,2,NA,1,1,4,4,5,4,1,4,4,4,NA,1,2020-08-01,1988-02-16,11855,32.4794520547945,2.84615384615385,42.2222222222222,80,5,5,5,4,5,4,4.05
"16",1534532,"1",1,"Christianity",59,"Heterosexual","White or European American","8/12/20 8:49","1/15/82",9000,0,80,80,100,80,60,20,NA,100,60,40,20,100,100,60,3,4,4,3,1,4,3,4,3,5,4,5,3,3,4,3,5,2,3,3,2,4,NA,4,4,NA,4,5,5,5,5,4,NA,2,4,4,2,2,2020-08-01,1982-01-15,14078,38.5698630136986,4.18181818181818,84.4444444444444,35,3,5,3,1,3,3,3.4
"17",1534532,"2",0,"Christianity",59,"Heterosexual","White or European American","8/12/20 12:43","1/20/82",NA,NA,60,20,20,80,100,100,60,40,60,80,80,60,20,40,2,5,5,1,1,5,3,4,5,4,5,4,4,4,4,4,5,2,4,5,4,4,2,1,1,1,NA,1,NA,1,4,5,NA,1,NA,4,2,2,2020-08-01,1982-01-20,14073,38.5561643835616,2.1,46,90,5,5,1,2,2,2,3.75
"18",1796138,"1",0,"Christianity",49,"Heterosexual","White or European American","8/7/20 9:45","10/8/00",75000,0,20,40,20,60,100,80,60,20,60,100,40,100,60,80,3,4,5,1,1,5,1,5,5,5,3,4,5,1,5,2,5,1,1,2,5,5,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2020-08-01,2000-10-08,7237,19.827397260274,2.71428571428571,52,80,5,5,1,2,5,5,3.85
"19",1796138,"2",1,"Christianity",49,"Heterosexual","White or European American","8/14/20 14:07","9/23/00",27000,1,100,100,100,100,20,40,100,100,100,80,80,20,100,100,3,3,3,3,2,4,2,3,3,4,4,4,2,4,3,4,3,3,3,4,4,4,4,5,5,NA,5,5,5,5,5,5,2,5,4,NA,5,NA,2020-08-01,2000-09-23,7252,19.8684931506849,4.58333333333333,92,55,3,4,3,2,2,3,3.2
"20",1836239,"1",0,"Judaism",42,"Heterosexual","White or European American","8/11/20 20:53","12/26/12",75000,0,60,60,80,60,100,NA,40,60,100,100,100,100,40,60,4,2,4,2,4,1,3,2,5,3,1,5,1,3,1,1,4,1,3,2,2,1,NA,2,2,NA,4,NA,4,NA,4,NA,NA,NA,2,2,NA,2,2020-08-01,2012-12-26,2775,7.6027397260274,2.85714285714286,66,100,4,2,1,1,3,3,2.05
"21",1836239,"2",1,"Judaism",39,"Heterosexual","White or European American","8/12/20 12:34","12/26/12",NA,NA,NA,60,40,60,40,NA,60,60,40,40,40,40,60,60,2,2,4,2,4,3,2,2,3,3,1,3,2,4,2,2,3,2,4,1,3,2,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,2,2,NA,NA,2020-08-01,2012-12-26,2775,7.6027397260274,3.33333333333333,53.3333333333333,40,4,2,3,3,2,2,2.4
"22",2048975,"1",0,"Judaism",46,"Heterosexual","White or European American","8/7/20 20:34","3/20/03",82000,0,100,60,100,80,80,100,100,80,60,80,100,60,40,60,3,4,4,2,5,3,2,4,5,3,2,4,2,3,3,2,4,3,4,2,3,3,NA,NA,2,2,2,2,2,2,4,NA,2,NA,NA,NA,2,NA,2020-08-01,2003-03-20,6344,17.3808219178082,2.25,74,90,4,1,1,2,3,2,2.65
"23",2048975,"2",1,"Judaism",43,"Heterosexual","White or European American","8/7/20 21:25","3/10/03",40000,1,40,40,60,60,60,100,40,60,80,20,20,60,100,100,1,5,1,3,5,1,3,4,5,3,1,5,1,5,4,1,5,3,5,1,2,1,2,NA,4,1,1,1,2,1,4,4,1,1,1,2,2,NA,2020-08-01,2003-03-10,6354,17.4082191780822,1.92307692307692,64,50,3,1,1,1,1,1,1.95
"24",2192258,"1",1,"Christianity",41,"Heterosexual","White or European American","8/8/20 10:52","7/31/01",10000,0,100,100,100,100,60,40,60,80,100,60,60,100,100,100,5,1,2,2,1,2,1,4,5,5,3,4,1,4,3,2,5,1,3,1,1,4,NA,1,2,2,4,2,5,NA,5,4,4,4,NA,NA,5,2,2020-08-01,2001-07-31,6941,19.0164383561644,3.3,94,55,4,5,1,2,2,3,2.6
