"","dyadID","avg_grbs_A","avg_grbs_P","avg_housework_female_A","avg_housework_female_P","avg_housework_male_A","avg_housework_male_P","genderE_A","genderE_P","housework_fair_A","housework_fair_P","housework_satisfied_A","housework_satisfied_P","partnum2_A","partnum2_P","religion_A","religion_P"
"1",377033,"3.10526315789474","3.36842105263158","51.1111111111111","71.1111111111111","60","55","0","1","4","3","3","3","1","1","Christianity","Christianity"
"2",377033,"3.36842105263158","3.10526315789474","71.1111111111111","51.1111111111111","55","60","1","0","3","4","3","3","2","2","Christianity","Christianity"
"3",737834,"3","2.65","28","94","75","55","0","1","3","4","4","2","1","1","Christianity","Christianity"
"4",737834,"2.65","3","94","28","55","75","1","0","4","3","2","4","2","2","Christianity","Christianity"
"5",919757,"2.65","2.15","60","60","70","50","0","1","3","3","3","3","1","1","Christianity","Christianity"
"6",919757,"2.15","2.65","60","60","50","70","1","0","3","3","3","3","2","2","Christianity","Christianity"
"7",938324,"3.4","2.05","26.6666666666667","91.1111111111111","85","45","0","1","1","3","5","5","1","1","Christianity","Christianity"
"8",938324,"2.05","3.4","91.1111111111111","26.6666666666667","45","85","1","0","3","1","5","5","2","2","Christianity","Christianity"
"9",1063439,"3.05","2.4","26","94","95","25","0","1","2","3","4","4","1","1","Christianity","Christianity"
"10",1063439,"2.4","3.05","94","26","25","95","1","0","3","2","4","4","2","2","Christianity","Christianity"
"11",1151456,"3.35","3.15","34","80","65","55","0","1","1","1","5","5","1","1","Agnostic","Athiest"
"12",1151456,"3.15","3.35","80","34","55","65","1","0","1","1","5","5","2","2","Athiest","Agnostic"
"13",1215551,"4.05",NA,"42.2222222222222",NA,"80",NA,"0",NA,"3",NA,"4",NA,"1",NA,"Christianity",NA
"14",1215551,NA,"4.05",NA,"42.2222222222222",NA,"80",NA,"0",NA,"3",NA,"4",NA,"2",NA,"Christianity"
"15",1534532,"3.75","3.4","46","84.4444444444444","90","35","0","1","2","3","5","4","1","1","Christianity","Christianity"
"16",1534532,"3.4","3.75","84.4444444444444","46","35","90","1","0","3","2","4","5","2","2","Christianity","Christianity"
"17",1796138,"3.85","3.2","52","92","80","55","0","1","3","3","4","3","1","1","Christianity","Christianity"
"18",1796138,"3.2","3.85","92","52","55","80","1","0","3","3","3","4","2","2","Christianity","Christianity"
"19",1836239,"2.05","2.4","66","53.3333333333333","100","40","0","1","4","2","2","2","1","1","Judaism","Judaism"
"20",1836239,"2.4","2.05","53.3333333333333","66","40","100","1","0","2","4","2","2","2","2","Judaism","Judaism"
"21",2048975,"2.65","1.95","74","64","90","50","0","1","3","1","4","5","1","1","Judaism","Judaism"
"22",2048975,"1.95","2.65","64","74","50","90","1","0","1","3","5","4","2","2","Judaism","Judaism"
"23",2192258,"3.7","2.6","30","94","90","55","0","1","3","5","4","1","1","1","Christianity","Christianity"
"24",2192258,"2.6","3.7","94","30","55","90","1","0","5","3","1","4","2","2","Christianity","Christianity"
"25",2262764,"2.55","2.35","30","94","80","35","0","1","2","4","4","2","1","1","Christianity","Christianity"
"26",2262764,"2.35","2.55","94","30","35","80","1","0","4","2","2","4","2","2","Christianity","Christianity"
"27",4052115,"2.2","1.35","42.2222222222222","80","80","50","0","1","3","3","3","3","1","1","Christianity","Christianity"
"28",4052115,"1.35","2.2","80","42.2222222222222","50","80","1","0","3","3","3","3","2","2","Christianity","Christianity"
"29",4292443,"3.25","3.15","38","96","60","95","0","1","3","3","3","3","1","1","Christianity","Christianity"
"30",4292443,"3.15","3.25","96","38","95","60","1","0","3","3","3","3","2","2","Christianity","Christianity"
"31",4593178,"3.65","3.15","44.4444444444444","66.6666666666667","85","45","0","1","1","1","5","5","1","1","Christianity","Christianity"
"32",4593178,"3.15","3.65","66.6666666666667","44.4444444444444","45","85","1","0","1","1","5","5","2","2","Christianity","Christianity"
"33",5339697,"2.05","1.1","58","68","70","50","0","1","3","3","2","4","1","1","Agnostic","Agnostic,Other"
"34",5339697,"1.1","2.05","68","58","50","70","1","0","3","3","4","2","2","2","Agnostic,Other","Agnostic"
"35",6359824,"2.9","2.7","22","82","85","45","0","1","3","2","5","5","1","1","Christianity","Christianity"
"36",6359824,"2.7","2.9","82","22","45","85","1","0","2","3","5","5","2","2","Christianity","Christianity"
"37",6894072,"2.95","3.1","54","88","50","30","0","1","3","3","3","3","1","1","Christianity","Christianity"
"38",6894072,"3.1","2.95","88","54","30","50","1","0","3","3","3","3","2","2","Christianity","Christianity"
"39",7403083,"3","3.05","60","75","60","50","0","1","3","5","3","1","1","1","Christianity","Christianity"
"40",7403083,"3.05","3","75","60","50","60","1","0","5","3","1","3","2","2","Christianity","Christianity"
"41",10211595,"3","3.1","60","60","60","60","0","1","3","3","3","5","1","1","Christianity","Christianity"
"42",10211595,"3.1","3","60","60","60","60","1","0","3","3","5","3","2","2","Christianity","Christianity"
"43",14872733,"3.75","3.6","20","100","65","80","0","1","3","4","5","3","1","1","Christianity","Christianity"
"44",14872733,"3.6","3.75","100","20","80","65","1","0","4","3","3","5","2","2","Christianity","Christianity"
"45",15149174,"3","3.05","60","72","85","40","0","1","4","3","3","4","1","1","Christianity","Christianity"
"46",15149174,"3.05","3","72","60","40","85","1","0","3","4","4","3","2","2","Christianity","Christianity"
"47",15892965,"1.25","1","66","66","100","50","0","1","3","3","4","4","1","1","Christianity","Christianity"
"48",15892965,"1","1.25","66","66","50","100","1","0","3","3","4","4","2","2","Christianity","Christianity"
"49",16244806,"2.6","2.1","36","78","80","40","0","1","3","3","3","3","1","1","Christianity","Athiest"
"50",16244806,"2.1","2.6","78","36","40","80","1","0","3","3","3","3","2","2","Athiest","Christianity"
"51",16699128,"3.3","3","84.4444444444444","60","30","90","0","1","3","3","3","3","1","1","Christianity","Christianity"
"52",16699128,"3","3.3","60","84.4444444444444","90","30","1","0","3","3","3","3","2","2","Christianity","Christianity"
"53",16711674,"3.2","3.5","62","58","55","55","0","1","4","3","4","4","1","1","Christianity","Christianity"
"54",16711674,"3.5","3.2","58","62","55","55","1","0","3","4","4","4","2","2","Christianity","Christianity"
"55",17701991,"2.85","2.15","26","98","60","65","0","1","2","4","5","1","1","1","Christianity","Christianity"
"56",17701991,"2.15","2.85","98","26","65","60","1","0","4","2","1","5","2","2","Christianity","Christianity"
"57",17986423,"1.85","1.85","53.3333333333333","64.4444444444444","70","40","0","1","3","3","5","5","1","1","Other","Other"
"58",17986423,"1.85","1.85","64.4444444444444","53.3333333333333","40","70","1","0","3","3","5","5","2","2","Other","Other"
"59",18097117,"3.1","3.2","80","48","80","40","0","1","2","2","4","3","1","1","Christianity","Christianity"
"60",18097117,"3.2","3.1","48","80","40","80","1","0","2","2","3","4","2","2","Christianity","Christianity"
"61",18284987,"3.3","2.15","46","82","100","20","0","1","3","3","5","5","1","1","Christianity","Christianity"
"62",18284987,"2.15","3.3","82","46","20","100","1","0","3","3","5","5","2","2","Christianity","Christianity"
"63",18324617,"1.7","1.6","26.6666666666667","86.6666666666667","85","30","0","1","1","1","5","5","1","1","Christianity","Christianity"
"64",18324617,"1.6","1.7","86.6666666666667","26.6666666666667","30","85","1","0","1","1","5","5","2","2","Christianity","Christianity"
"65",18756718,"3.95","3.9","66","53.3333333333333","100","20","0","1","5","4","2","2","1","1","Christianity","Christianity"
"66",18756718,"3.9","3.95","53.3333333333333","66","20","100","1","0","4","5","2","2","2","2","Christianity","Christianity"
"67",18785388,"3","1.95","37.7777777777778","82.2222222222222","100","26.6666666666667","0","1","3","4","5","2","1","1","Prefer not to answer","Christianity"
"68",18785388,"1.95","3","82.2222222222222","37.7777777777778","26.6666666666667","100","1","0","4","3","2","5","2","2","Christianity","Prefer not to answer"
"69",19323251,"1.05","1.1","50","72","95","25","0","1","3","3","5","5","1","1","Christianity","Christianity"
"70",19323251,"1.1","1.05","72","50","25","95","1","0","3","3","5","5","2","2","Christianity","Christianity"
"71",19733641,"2.25","3.05","44","82","85","50","0","1","1","1","5","5","1","1","Christianity","Christianity"
"72",19733641,"3.05","2.25","82","44","50","85","1","0","1","1","5","5","2","2","Christianity","Christianity"
"73",22536798,"3.05","2.9","70","58","50","70","0","1","2","3","3","3","1","1","Christianity","Christianity"
"74",22536798,"2.9","3.05","58","70","70","50","1","0","3","2","3","3","2","2","Christianity","Christianity"
"75",23712310,"3","3.05","58","80","60","40","0","1","3","3","4","4","1","1","Christianity","Christianity"
"76",23712310,"3.05","3","80","58","40","60","1","0","3","3","4","4","2","2","Christianity","Christianity"
"77",23782765,"2.5","2.25","55.5555555555556","71.1111111111111","90","50","0","1","2","1","5","5","1","1","Hinduism","Hinduism"
"78",23782765,"2.25","2.5","71.1111111111111","55.5555555555556","50","90","1","0","1","2","5","5","2","2","Hinduism","Hinduism"
"79",23799711,"3.45","2.5","32","92","100","25","0","1","3","3","5","3","1","1","Christianity","Christianity"
"80",23799711,"2.5","3.45","92","32","25","100","1","0","3","3","3","5","2","2","Christianity","Christianity"
"81",27005905,"3","3.05","66","44","45","40","0","1","3","4","5","4","1","1","Christianity","Christianity"
"82",27005905,"3.05","3","44","66","40","45","1","0","4","3","4","5","2","2","Christianity","Christianity"
"83",27311279,"3.85","3.5","74","64","85","65","0","1","3","3","5","5","1","1","Christianity","Christianity"
"84",27311279,"3.5","3.85","64","74","65","85","1","0","3","3","5","5","2","2","Christianity","Christianity"
