"","dyadID","gender","religion","avg_housework_male","avg_housework_female","avg_grbs","housework_fair","housework_satisfied","partnum2"
"1",377033,1,"Christianity",55,71.1111111111111,3.36842105263158,3,3,1
"2",377033,0,"Christianity",60,51.1111111111111,3.10526315789474,4,3,2
"3",737834,1,"Christianity",55,94,2.65,4,2,1
"4",737834,0,"Christianity",75,28,3,3,4,2
"5",919757,1,"Christianity",50,60,2.15,3,3,1
"6",919757,0,"Christianity",70,60,2.65,3,3,2
"7",938324,1,"Christianity",45,91.1111111111111,2.05,3,5,1
"8",938324,0,"Christianity",85,26.6666666666667,3.4,1,5,2
"9",1063439,1,"Christianity",25,94,2.4,3,4,1
"10",1063439,0,"Christianity",95,26,3.05,2,4,2
"11",1151456,1,"Athiest",55,80,3.15,1,5,1
"12",1151456,0,"Agnostic",65,34,3.35,1,5,2
"15",1215551,0,"Christianity",80,42.2222222222222,4.05,3,4,2
"16",1534532,1,"Christianity",35,84.4444444444444,3.4,3,4,1
"17",1534532,0,"Christianity",90,46,3.75,2,5,2
"18",1796138,0,"Christianity",80,52,3.85,3,4,2
"19",1796138,1,"Christianity",55,92,3.2,3,3,1
"20",1836239,0,"Judaism",100,66,2.05,4,2,2
"21",1836239,1,"Judaism",40,53.3333333333333,2.4,2,2,1
"22",2048975,0,"Judaism",90,74,2.65,3,4,2
"23",2048975,1,"Judaism",50,64,1.95,1,5,1
"24",2192258,1,"Christianity",55,94,2.6,5,1,1
"25",2192258,0,"Christianity",90,30,3.7,3,4,2
"26",2262764,1,"Christianity",35,94,2.35,4,2,1
"27",2262764,0,"Christianity",80,30,2.55,2,4,2
"28",4052115,1,"Christianity",50,80,1.35,3,3,1
"29",4052115,0,"Christianity",80,42.2222222222222,2.2,3,3,2
"30",4292443,1,"Christianity",95,96,3.15,3,3,1
"31",4292443,0,"Christianity",60,38,3.25,3,3,2
"32",4593178,1,"Christianity",45,66.6666666666667,3.15,1,5,1
"33",4593178,0,"Christianity",85,44.4444444444444,3.65,1,5,2
"34",5339697,0,"Agnostic",70,58,2.05,3,2,2
"35",5339697,1,"Agnostic,Other",50,68,1.1,3,4,1
"36",6359824,1,"Christianity",45,82,2.7,2,5,1
"37",6359824,0,"Christianity",85,22,2.9,3,5,2
"38",6894072,1,"Christianity",30,88,3.1,3,3,1
"39",6894072,0,"Christianity",50,54,2.95,3,3,2
"40",7403083,1,"Christianity",50,75,3.05,5,1,1
"41",7403083,0,"Christianity",60,60,3,3,3,2
"42",10211595,1,"Christianity",60,60,3.1,3,5,1
"43",10211595,0,"Christianity",60,60,3,3,3,2
"44",14872733,1,"Christianity",80,100,3.6,4,3,1
"45",14872733,0,"Christianity",65,20,3.75,3,5,2
"46",15149174,0,"Christianity",85,60,3,4,3,2
"47",15149174,1,"Christianity",40,72,3.05,3,4,1
"48",15892965,1,"Christianity",50,66,1,3,4,1
"49",15892965,0,"Christianity",100,66,1.25,3,4,2
"50",16244806,1,"Athiest",40,78,2.1,3,3,1
"51",16244806,0,"Christianity",80,36,2.6,3,3,2
"52",16699128,0,"Christianity",30,84.4444444444444,3.3,3,3,2
"53",16699128,1,"Christianity",90,60,3,3,3,1
"54",16711674,0,"Christianity",55,62,3.2,4,4,2
"55",16711674,1,"Christianity",55,58,3.5,3,4,1
"56",17701991,1,"Christianity",65,98,2.15,4,1,1
"57",17701991,0,"Christianity",60,26,2.85,2,5,2
"58",17986423,1,"Other",40,64.4444444444444,1.85,3,5,1
"59",17986423,0,"Other",70,53.3333333333333,1.85,3,5,2
"60",18097117,0,"Christianity",80,80,3.1,2,4,2
"61",18097117,1,"Christianity",40,48,3.2,2,3,1
"62",18284987,1,"Christianity",20,82,2.15,3,5,1
"63",18284987,0,"Christianity",100,46,3.3,3,5,2
"64",18324617,1,"Christianity",30,86.6666666666667,1.6,1,5,1
"65",18324617,0,"Christianity",85,26.6666666666667,1.7,1,5,2
"66",18756718,0,"Christianity",100,66,3.95,5,2,2
"67",18756718,1,"Christianity",20,53.3333333333333,3.9,4,2,1
"68",18785388,1,"Christianity",26.6666666666667,82.2222222222222,1.95,4,2,1
"69",18785388,0,"Prefer not to answer",100,37.7777777777778,3,3,5,2
"70",19323251,0,"Christianity",95,50,1.05,3,5,2
"71",19323251,1,"Christianity",25,72,1.1,3,5,1
"72",19733641,0,"Christianity",85,44,2.25,1,5,2
"73",19733641,1,"Christianity",50,82,3.05,1,5,1
"74",22536798,0,"Christianity",50,70,3.05,2,3,2
"75",22536798,1,"Christianity",70,58,2.9,3,3,1
"76",23712310,1,"Christianity",40,80,3.05,3,4,1
"77",23712310,0,"Christianity",60,58,3,3,4,2
"78",23782765,1,"Hinduism",50,71.1111111111111,2.25,1,5,1
"79",23782765,0,"Hinduism",90,55.5555555555556,2.5,2,5,2
"80",23799711,1,"Christianity",25,92,2.5,3,3,1
"81",23799711,0,"Christianity",100,32,3.45,3,5,2
"82",27005905,0,"Christianity",45,66,3,3,5,2
"83",27005905,1,"Christianity",40,44,3.05,4,4,1
"84",27311279,0,"Christianity",85,74,3.85,3,5,2
"85",27311279,1,"Christianity",65,64,3.5,3,5,1
"86",27511978,1,"Christianity",40,76,2,1,5,1
"87",27511978,0,"Christianity",70,32,2.5,3,5,2
"88",28021760,1,"Christianity",75,66,3.5,2,3,1
